Crop,Sow Location,Sow Timing,Pre-germinate?,Notes
Spinach,Direct outside,Now,No,"Frost hardy, cool soil fine"
Lamb's lettuce,Direct outside,Now,No,Very frost hardy
Radishes,Direct outside,Now,No,"Fast crop, succession sow"
Peas,Direct outside,Now,No,Frost hardy
Broad beans,Direct outside,Now,No,Frost hardy
Pak choi / Asian greens,Direct outside,Now,No,Frost hardy
Carrots,Direct outside,Mid-March,No,Needs soil >8°C
Parsnips,Direct outside,Mid-March,No,"Slow germinator, be patient"
Beetroot,Direct outside,Late March,No,Wait for soil to warm slightly
Chard,Direct outside,Late March,No,Can also start indoors
Kale,Direct outside,Late March,No,Very hardy once established
Kohlrabi,Direct outside,Late March,No,—
Lettuce,Direct outside,Late March,No,Bolt-risk rises with heat later
Peppers / Chillies,Indoors,Now — urgent,"Yes, recommended",Transplant mid-May; 10–12 weeks lead time
Aubergine,Indoors,Now — urgent,"Yes, recommended",Transplant mid-May; needs warmth
Tomatoes,Indoors,Now,"Yes, recommended",Transplant mid-May; 8–10 weeks
Celeriac,Indoors,Now,"No — surface sow, needs light","Very slow, long lead time"
Leeks,Indoors,Now,No,Transplant late April–May
Courgette / Zucchini,Indoors,Mid–late March,No,Fast grower; 6 weeks enough
Cucumber,Indoors,Mid–late March,No,Fast grower; 6 weeks enough
Pumpkin / Squash,Indoors,Mid–late March,No,Fast grower; 6 weeks enough
Basil,Indoors,Mid–late March,No,Needs warmth; very frost sensitive
French beans,Indoors,April,No,Fast grower; too early = leggy
Sweetcorn,Indoors,April,No,Fast grower; too early = leggy
Potatoes (Laura),Grow bags,"Chit now, plant mid–late April",N/A — chitting,Waxy/salad type; harvest ~late June–July
Potatoes (Agria),Grow bags,"Chit now, plant mid–late April",N/A — chitting,Floury/all-rounder; slightly later harvest
